"","X","Region_ID","Trial","Block","Treatment","Treatment_Type","Treatment_State","median_time","delta_time","partition_num","avg_range","avg_angle","avg_length","avg_x","avg_y","dist_insult"
"1",321,25449,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:12",0.8,4,3.068062286,-15.644,7.168038857,-0.827288554,2.954275216,1.045724784
"2",322,25450,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:14",1.4,4,3.363405846,-19.02223077,3.971899846,-1.096249474,3.179696834,0.820303166
"3",323,25451,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:16",1.1,4,4.442749625,-3.091675,4.31192075,-0.239624572,4.436238937,0.436238937
"4",324,25452,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:16",1.1,4,3.741200875,-11.60925,5.38715075,-0.752826055,3.664605844,0.335394156
"5",325,25453,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:16",1.3,4,2.747944625,-29.381125,5.026103375,-1.348174728,2.394471504,1.605528496
"6",326,25454,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:16",1.5,4,3.3742605,-11.125,3.662006583,-0.651066098,3.310665763,0.689334237
"7",327,25455,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:16",1,4,3.055185429,-19.93071429,4.625281571,-1.041462533,2.87213536,1.12786464
"8",328,25456,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:18",1.1,4,3.37214275,-9.0885375,4.06046225,-0.532674093,3.329777314,0.670222686
"9",329,25457,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:20",1,4,3.388207429,-26.72771429,5.121130143,-1.523823105,3.026003307,0.973996693
"10",330,25458,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:21",0.7,4,3.085516,-15.995,4.8474945,-0.850218013,2.965975612,1.034024388
"11",331,25459,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:22",0.7,4,3.182450714,-22.597,4.803796571,-1.222832556,2.938090033,1.061909967
"12",332,25461,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:22",0.8,4,5.250385429,-5.254914286,6.473049143,-0.480862575,5.228276886,1.228276886
"13",333,25462,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:23",1,4,3.374981444,-10.27613333,7.561638222,-0.602062348,3.320779235,0.679220765
"14",334,25463,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:23",0.8,4,3.033712429,-12.27442857,4.210136714,-0.644948924,2.964322128,1.035677872
"15",335,25464,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:24",0.8,4,3.767036857,-11.60757143,4.651071714,-0.757941341,3.689975887,0.310024113
"16",336,25465,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:26",0.8,4,4.126681444,-22.19433333,10.55252289,-1.558804489,3.820887256,0.179112744
"17",337,25466,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:28",0.7,4,4.543190286,-7.529442857,4.42285,-0.595312435,4.503960359,0.503960359
"18",338,25467,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:27",1.2,4,3.671577889,-21.109,6.654158556,-1.322201402,3.424964964,0.575035036
"19",339,25468,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:28",0.9,4,4.0254645,-9.8479375,5.313862375,-0.688495597,3.966038619,0.033961381
"20",340,25469,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:30",0.7,4,3.0949445,-12.104125,4.84055525,-0.648964121,3.026019275,0.973980725
"21",341,25470,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:31",0.6,4,5.869385857,-3.2745,6.429702143,-0.335256935,5.859791459,1.859791459
"22",342,25471,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:31",0.7,4,3.980889125,-4.1576,5.277047375,-0.288611608,3.970387377,0.029612623
"23",343,25472,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:32",1.3,4,4.097412125,-6.9622625,4.42768025,-0.496624066,4.067158189,0.067158189
"24",344,25473,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:34",0.8,4,3.664607875,-21.782375,5.727418125,-1.359855589,3.402901753,0.597098247
"25",345,25474,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:34",1.3,4,3.987951889,-13.54477778,10.24168122,-0.933973042,3.87691833,0.12308167
"26",346,25475,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:36",0.7,4,4.558257143,22.19928571,10.637637,1.722229826,4.220296197,0.220296197
"27",347,25476,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:38",0.8,4,4.605005857,-1.356228571,6.952702857,-0.109006539,4.603691717,0.603691717
"28",348,25477,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:39",0.6,4,4.209630429,-17.49057143,4.048546,-1.265194639,4.01498091,0.01498091
"29",349,25478,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:39",1.4,4,3.889294182,-17.13754545,5.778544364,-1.146036312,3.716573289,0.283426711
"30",350,25479,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:40",0.8,4,3.65106525,-16.6415,5.748214125,-1.045558669,3.49795821,0.50204179
"31",351,25480,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:41",1,4,3.808923444,-6.101344444,8.955096222,-0.404838091,3.787332599,0.212667401
"32",352,25481,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:41",0.7,4,3.573163,-5.027442857,3.517372429,-0.313103996,3.559339947,0.440660053
"33",353,25482,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:42",0.6,4,2.991022286,-5.295628571,5.744572286,-0.276057023,2.978218407,1.021781593
"34",354,25483,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:42",0.9,4,2.9157413,-7.32766,3.687042,-0.371868893,2.891879528,1.108120472
"35",355,25484,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:42",0.6,4,4.384386286,-5.757185714,7.815505429,-0.439808361,4.362246083,0.362246083
"36",356,25485,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:43",0.8,4,4.416892,-14.83642857,6.677829286,-1.130975648,4.269614719,0.269614719
"37",357,25486,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:44",1.4,4,3.557011,0.133080909,3.727509636,0.008198805,3.556806374,0.443193626
"38",358,25488,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:46",1.6,4,3.2029315,7.794891667,5.402490417,0.434719303,3.171952488,0.828047512
"39",359,25489,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:46",1,4,4.14096475,-19.520625,5.464952,-1.383672609,3.902892718,0.097107282
"40",360,25490,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:47",0.6,4,2.386907714,11.69775714,6.334235429,0.483804479,2.336705565,1.663294435
"41",361,25491,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:46",1.2,4,4.7537852,-17.8021,6.3985699,-1.45330377,4.525382405,0.525382405
"42",362,25492,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:47",0.8,4,3.036977,4.300571429,3.755624143,0.22771776,3.028369941,0.971630059
"43",363,25493,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:48",1.4,4,2.409392182,6.153892727,7.812825091,0.256640455,2.392221012,1.607778988
"44",364,25494,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:49",0.8,4,2.802196857,-11.01514286,4.354546,-0.535423207,2.750537368,1.249462632
"45",365,25495,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:50",0.8,4,3.919594875,0.78151625,5.70630025,0.05346945,3.91920756,0.08079244
"46",366,25496,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:50",0.7,4,2.967886143,-5.411771429,3.663968,-0.279906996,2.954650395,1.045349605
"47",367,25497,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:50",0.8,4,3.462970625,-0.26074875,4.231089625,-0.015763609,3.462914179,0.537085821
"48",368,25498,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:50",1.4,4,3.149908,-18.96815385,3.261079692,-1.023865901,2.978758546,1.021241454
"49",369,25500,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:51",0.8,4,3.675994,-12.554125,6.2190935,-0.799022166,3.588078849,0.411921151
"50",370,25501,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:51",0.8,4,3.62104,-23.33125,8.26457675,-1.434095015,3.324933655,0.675066345
"51",371,25502,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:53",0.7,4,2.793017571,4.326828571,3.455462857,0.210757679,2.78497924,1.21502076
"52",372,25503,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:53",0.8,4,4.621386286,-9.516285714,5.071313714,-0.763983247,4.557697921,0.557697921
"53",373,25504,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:53",1,4,3.275947,-0.972548571,3.605174714,-0.055604527,3.275434356,0.724565644
"54",374,25505,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:53",2.3,4,3.182976353,-21.96964706,4.522193353,-1.190879463,2.951031701,1.048968299
"55",375,25506,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:54",2.3,4,2.354996318,-4.179089091,3.660695318,-0.172620426,2.345614992,1.654385008
"56",376,25507,"Block1_Bubbles(Off)",1,"Bubbles(Off)","Bubbles","Off","18:36:56",1.1,4,2.300870364,5.952690909,5.476827455,0.238447536,2.287985809,1.712014191
